condition,accuracy,precision,recall,f1,pred_def,TP,FN,FP,auc_roc,auc_pr
E1_topk (feats only),0.786,0.515,0.543,0.5286,0.233,240,202,226,0.7231,0.47
E6_hybrid (E1+RF),0.8025,0.5607,0.491,0.5235,0.1935,217,225,170,0.7817,0.5485
E7_hybrid (E1+RF+LR+ADA),0.8105,0.5952,0.4457,0.5097,0.1655,197,245,134,0.7764,0.5355
RandomForest,0.8205,0.668,0.3733,0.479,0.1235,165,277,82,0.7898,0.5772
LogReg,0.811,0.7078,0.2466,0.3658,0.077,109,333,45,0.7332,0.5122
AdaBoost,0.823,0.6982,0.3507,0.4669,0.111,155,287,67,0.7928,0.5711
