condition,accuracy,precision,recall,f1,pred_def,TP,FN,FP,auc_roc,auc_pr
L1_direct(baseline),0.789,0.5251,0.4729,0.4976,0.199,209,233,189,0.7186,0.4814
E1_topk,0.786,0.515,0.543,0.5286,0.233,240,202,226,0.7231,0.47
E2_boundary,0.805,0.6016,0.3484,0.4413,0.128,154,288,102,0.7128,0.47
E3_combined,0.8005,0.5642,0.4276,0.4865,0.1675,189,253,146,0.7251,0.4654
E4_representative,0.7985,0.5615,0.4027,0.469,0.1585,178,264,139,0.72,0.4792
E5_topk_rep,0.7985,0.5496,0.4887,0.5174,0.1965,216,226,177,0.7303,0.48
RandomForest(ref),0.8205,0.668,0.3733,0.479,0.1235,165,277,82,0.7898,0.5772
