strategy,seed,recall,f1,auc_pr,precision,accuracy
original,0,0.35041446872645066,0.457002457002457,0.5519147706919345,0.6567796610169492,0.8158333333333333
original,1,0.35116804822908815,0.4584358091490408,0.5569048610654156,0.660056657223796,0.8165
original,2,0.34513941220798794,0.4530168150346192,0.5567860399761653,0.6589928057553956,0.8156666666666667
original,3,0.3541823662396383,0.45965770171149145,0.5566913939230964,0.6545961002785515,0.8158333333333333
original,4,0.35342878673700073,0.4598039215686274,0.5552637468995296,0.6577840112201964,0.8163333333333334
class_weight,0,0.573474001507159,0.5353499824129441,0.5505043351964829,0.5019788918205804,0.7798333333333334
class_weight,1,0.5712132629992465,0.5356890459363958,0.5482231168231082,0.5043246839654025,0.781
class_weight,2,0.5787490580256217,0.5397048489107519,0.5526113247828246,0.5055957867017775,0.7816666666666666
class_weight,3,0.5764883195177091,0.5393020796616144,0.5499446044873332,0.5066225165562914,0.7821666666666667
class_weight,4,0.5764883195177091,0.5385427666314678,0.5468713557610704,0.5052840158520475,0.7815
oversample,0,0.5629238884702336,0.5358680057388809,0.5459768420158707,0.5112936344969199,0.7843333333333333
oversample,1,0.5568952524491334,0.5370639534883721,0.5475611233042417,0.5185964912280702,0.7876666666666666
oversample,2,0.5659382064807837,0.5406767458603312,0.5465459621793897,0.5175740868366644,0.7873333333333333
oversample,3,0.5629238884702336,0.537990637378466,0.5484622455718123,0.5151724137931034,0.7861666666666667
oversample,4,0.5584024114544084,0.534054054054054,0.5483516089046628,0.5117403314917127,0.7845
SMOTE,0,0.5440844009042954,0.514978601997147,0.519668938727125,0.4888287068381855,0.7733333333333333
SMOTE,1,0.5425772418990203,0.5146533238027162,0.515066876838412,0.4894629503738953,0.7736666666666666
SMOTE,2,0.5342878673700076,0.504446816079687,0.515623405287054,0.4777628032345013,0.7678333333333334
SMOTE,3,0.5380557648831952,0.5110952040085899,0.5216310332136199,0.4867075664621677,0.7723333333333333
SMOTE,4,0.544837980406933,0.5116772823779193,0.5197537966077534,0.48232154769846564,0.77
diffusion,0,0.5817633760361718,0.5300377617576382,0.5373159005942575,0.48675914249684743,0.7718333333333334
diffusion,1,0.5388093443858327,0.5267034990791897,0.54438773362317,0.5151296829971181,0.7858333333333334
diffusion,2,0.5455915599095704,0.5351071692535108,0.551624295067759,0.5250181290790428,0.7903333333333333
diffusion,3,0.5553880934438583,0.534833091436865,0.5459033327969547,0.5157452764170749,0.7863333333333333
diffusion,4,0.4822908816880181,0.5021577089054531,0.5207606425056197,0.5237315875613748,0.7885
