condition,accuracy,precision,recall,f1,pred_def,TP,FN,FP,auc_roc,auc_pr
LLM E1 alone,0.786,0.515,0.543,0.5286,0.233,240,202,226,0.7231,0.47
"RF_base (23 feats, CV)",0.814,0.6367,0.3688,0.467,0.128,163,279,93,0.7691,0.532
"RF_stack (+LLM, CV)",0.81,0.6165,0.371,0.4633,0.133,164,278,102,0.7673,0.5288
"RF (24k-trained, ref)",0.8205,0.668,0.3733,0.479,0.1235,165,277,82,0.7898,0.5772
